,Tinamous_major,Crax_rubra,Crypturellus_soui,Leopardus_pardalis,Panthera_onca,Puma_concolor,Conepatus_semistriatus,Nasua_narica,Eira_barbara,Pecari_tajacu,Dasyprocta_variegata,Dasyprocta_punctata,Didelphis_marsupialis,Heteromys_desmarestianus,Tapirus_bairdii,Dasypus_novemcinctus,Mazama_americana,Cuniculus_paca,Tayassu_pecari,Nasua_narica
Tinamous_major,NA,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
Crax_rubra,0,NA,0,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
Crypturellus_soui,0,0,NA,1,1,1,0,0,1,0,0,0,,0,0,0,0,0,0,0
Leopardus_pardalis,0,0,0,NA,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0
Panthera_onca,0,0,0,0,NA,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Puma_concolor,0,0,0,0,0,NA,0,0,0,0,0,0,,0,0,0,0,0,0,0
Conepatus_semistriatus,0,0,0,0,0,0,NA,0,0,0,0,0,,0,0,0,0,0,0,0
Nasua_narica,0,0,0,1,0,0,0,NA,0,0,0,0,,0,0,0,0,0,0,0
Eira_barbara,0,0,0,0,0,0,0,0,NA,0,0,0,,0,0,0,0,0,0,0
Pecari_tajacu,0,0,0,0,1,1,0,0,0,NA,0,0,,0,0,0,0,0,0,0
Dasyprocta_variegata,0,0,0,1,0,1,0,0,0,0,NA,0,,0,0,0,0,0,0,0
Dasyprocta_punctata,0,0,0,1,0,1,0,0,0,0,0,NA,,0,0,0,0,0,0,0
Didelphis_marsupialis,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0
Heteromys_desmarestianus,0,0,0,1,0,1,1,1,1,0,0,0,,NA,0,1,0,0,0,0
Tapirus_bairdii,0,0,0,0,1,1,0,0,0,0,0,0,,0,NA,0,0,0,0,0
Dasypus_novemcinctus,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,NA,0,0,0,0
Mazama_americana,0,0,0,1,1,1,0,0,0,0,0,0,,0,0,0,NA,0,0,0
Cuniculus_paca,0,0,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,NA,0,0
Tayassu_pecari,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,NA,0
Nasua_narica,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,NA
